游戏名,类型,开发商,发行商,价格,平台,性质,是否支持中文,历史在线峰值
全面战争：三国,"策略,历史,战争,回合战略,大战略,即时战略,军事,战术,多人,单人,即时战术,动作,好评原声音轨,回合制,合作,模拟,暴力,沙盒,奇幻,毁灭","CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA,Feral Interactive (Mac),Feral Interactive (Linux)",268,PC,多人,是,"191,816"
足球经理2020,"模拟,体育,管理,足球,足球/美式足球,策略,多人",Sports Interactive,SEGA,229,PC,多人,是,"189,179"
扣押：豪华版,"独立,恐怖,心理恐怖,像素图形,二维,冒险,剧情丰富,氛围,单人,黑暗,解谜,心理,指向 &amp; 点击,短片,悬疑,横向滚屏,黑色幽默,情感,血腥,记叙",Jesse Makkonen,Jesse Makkonen,21,PC,单人,是,"162,795"
文明6,"策略,回合战略,历史,多人,单人,回合制,大战略,4X,模拟,战争,战术,好评原声音轨,城市营造,可模组化,在线合作,合作,建造,管理,六角格棋盘,氛围","Firaxis Games,Aspyr (Mac),Aspyr (Linux)","2K,Aspyr (Mac),Aspyr (Linux)",199,PC,多人,是,"162,314"
英雄连2,"策略,二战,即时战略,多人,战术,历史,战争,军事,单人,合作,在线合作,坦克,动作,即时,基地建设,氛围,即时含暂停,模拟,好评原声音轨,大师级","Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA,Feral Interactive (Mac),Feral Interactive (Linux)",68,PC,多人,否,"161,908"
求生之路2,"僵尸,合作,第一人称射击,多人,射击,动作,在线合作,生存,恐怖,第一人称视角,血腥,团队导向,可模组化,生存恐怖,末日,单人,冒险,本地合作,重玩价值,战术",Valve,Valve,37,PC,合作,是,"161,590"
泰拉瑞亚,"开放世界生存制作,沙盒,生存,二维,冒险,多人,制作,建造,像素图形,探索,合作,开放世界,独立,动作,在线合作,角色扮演,单人,平台游戏,重玩价值,氛围",Re-Logic,Re-Logic,36,PC,多人,是,"158,947"
方舟：生存进化,"开放世界生存制作,生存,开放世界,多人,恐龙,制作,建造,冒险,基地建设,合作,动作,第一人称视角,沙盒,大型多人在线,抢先体验,单人,龙,角色扮演,科幻,大型多人在线角色扮演","Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",Studio Wildcard,138,PC,多人,是,"157,355"
奥威尔：注视着你,"选择取向,政治模拟,反乌托邦,剧情丰富,单人,独立,推理,互动小说,政治,模拟,黑客,政治性,冒险,氛围,仅鼠标,剧集,视觉小说,指向 &amp; 点击,好评原声音轨,悬疑",Osmotic Studios,Fellow Traveller,37,PC,单人,是,"150,575"
杀戮之王,"生存,大型多人在线,多人,开放世界,玩家对战,大逃杀,第一人称射击,动作,射击,免费,第三人称射击,僵尸,抢先体验,合作,在线合作,冒险,第一人称视角,暴力,血腥,步行模拟",Daybreak Game Company,Daybreak Game Company,免费开玩,PC,大型多人在线,是,"150,179"
破坏协议：在线都市RPG,"大型多人在线,角色扮演,独立,抢先体验,动作,模拟,休闲,多人,开放世界,冒险,射击,第一人称视角,单人,暴力,动作冒险,裸露,恋爱模拟,关卡编辑,怀旧,游戏工坊",Cylinder Studios,Cylinder Studios,22,PC,大型多人在线,否,"145,618"
夺命追击,"动作,模拟,独立,策略,潜行,多人,悬疑,暗杀,第三人称视角",Blazing Griffin,Blazing Griffin,37,PC,多人,是,"144,294"
层层恐惧,"恐怖,心理恐怖,氛围,步行模拟,第一人称视角,单人,独立,剧情丰富,冒险,迷幻,黑暗,好评原声音轨,解谜,探索,悬疑,洛夫克拉夫特式,超现实,生存恐怖,指向 &amp; 点击,短片",Bloober Team SA,Aspyr,68,PC,单人,是,"143,872"
十字军之王2,"大战略,策略,中世纪,历史,政治模拟,模拟,角色扮演,沙盒,多人,政治,外交,重玩价值,单人,即时含暂停,可模组化,政治性,角色定制,好评原声音轨,即时战略,教育",Paradox Development Studio,Paradox Interactive,免费开玩,PC,多人,否,"140,269"
筑堡,"动作,塔防,独立,策略,合作,多人,第三人称射击,外星人,科幻,射击,在线合作",Clapfoot,Clapfoot,48,PC,合作,否,"135,587"
幽浮2,"策略,回合制,战术,回合战略,外星人,科幻,回合制战术,角色定制,单人,困难,多人,可模组化,角色扮演,未来,永久死亡,动作,氛围,好评原声音轨,大师级,合作","Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)","2K,Feral Interactive (Mac),Feral Interactive (Linux)",190,PC,单人,是,"132,677"
星际战甲,"刷宝射击游戏,免费,动作,合作,多人,第三人称射击,科幻,忍者,射击,跑酷,太空,在线合作,未来,第三人称视角,大型多人在线,PvE,角色扮演,砍杀,单人,第一人称射击",Digital Extremes,Digital Extremes,免费游玩,PC,合作,是,"131,766"
黑暗之魂3,"类魂系列,黑暗奇幻,困难,角色扮演,氛围,故事架构丰富,第三人称视角,探索,剧情丰富,合作,动作角色扮演,玩家对战,冒险,好评原声音轨,动作,开放世界,多人,单人,重玩价值,角色定制","FromSoftware, Inc.","FromSoftware, Inc.,BANDAI NAMCO Entertainment",268,PC,合作,是,"129,831"
黑客网络,"黑客,模拟,独立,单人,编程,好评原声音轨,解谜,打字,剧情丰富,赛博朋克,氛围,二维,冒险,科幻,休闲,策略,教育,困难,多人,恐怖",Team Fractal Alligator,Fellow Traveller,37,PC,单人,是,"127,640"
破坏领主,"角色扮演,砍杀,动作角色扮演,多人,动作,冒险,独立,等角,寻宝,抢先体验,角色定制,合作,单人,奇幻,中世纪,迷宫探索,控制器,纵轴,黑暗奇幻,困难",WOLCEN Studio,WOLCEN Studio,116,PC,多人,是,"127,322"
只狼：影逝二度,"类魂系列,困难,动作,单人,忍者,潜行,冒险,第三人称视角,氛围,暴力,剧情丰富,黑暗奇幻,开放世界,暗杀,好评原声音轨,砍杀,血腥,角色扮演,黑暗,节奏",FromSoftware,"Activision (Excluding Japan and Asia),FromSoftware (Japan),方块游戏 (Asia)",268,PC,单人,是,"124,334"
无主之地2,"寻宝,射击,动作,多人,合作,刷宝射击游戏,第一人称射击,角色扮演,第一人称视角,欢乐,喜剧,开放世界,战斗,在线合作,冒险,动作角色扮演,黑色幽默,网红,科幻,单人","Gearbox Software,Aspyr (Mac),Aspyr (Linux)","2K,Aspyr (Mac),Aspyr (Linux)",64,PC,多人,否,"123,596"
光环：士官长合集,"大师级,好评原声音轨,第一人称射击,经典,多人,剧情丰富,科幻,合作,第一人称视角,Epic,动作,射击,故事架构丰富,外星人,唯美,单人,太空,氛围,冒险,恐怖","343 Industries,Splash Damage,Ruffian Games,Bungie,Saber Interactive",Xbox Game Studios,116,PC,多人,是,"121,985"
叛乱,"第一人称射击,拟真,战术,多人,射击,动作,军事,团队导向,合作,第一人称视角,策略,战争,在线合作,竞技,独立,模拟,玩家对战,单人,氛围,冒险",New World Interactive,New World Interactive,50,PC,多人,是,"121,264"
Prismata,"抢先体验,策略,独立,卡牌游戏,卡牌战斗,牌组构建,免费,模拟,回合制,科幻,多人,竞技,单人,解谜,棋类,机器人,回合制战术,重玩价值,回合战略,触控",Lunarch Studios,Lunarch Studios,免费游玩,PC,多人,否,"121,154"
全面战争：罗马2帝王版,"策略,回合战略,历史,大战略,罗马,战术,多人,战争,即时战术,回合制,即时战略,单人,在线合作,大师级,回合制战术,模拟,合作,可模组化,动作,氛围",CREATIVE ASSEMBLY,SEGA,268,PC,多人,否,"118,240"
军团要塞2,"英雄射击,免费,多人,第一人称射击,射击,动作,职业导向,团队导向,欢乐,第一人称视角,在线合作,竞技,卡通化,贸易,合作,喜剧,机器人,战术,卡通,制作",Valve,Valve,免费游玩,PC,多人,是,"117,917"
裂境之主,"策略,回合战略,奇幻,回合制,角色扮演,独立,单人,战术,4X,六角格棋盘,困难,大师级,回合制战术,多人,战术角色扮演,冒险",Snowbird Games,Snowbird Games,68,PC,单人,否,"115,993"
全境封锁,"开放世界,多人,第三人称射击,刷宝射击游戏,动作,射击,合作,角色扮演,在线合作,末日,生存,大型多人在线,战术,第三人称视角,大型多人在线角色扮演,单人,冒险,氛围,第一人称射击,潜行",Massive Entertainment,Ubisoft,148,PC,多人,是,"113,877"
战锤：全面战争,"策略,奇幻,即时战略,战争,回合战略,游戏工坊,大战略,多人,战术,动作,黑暗奇幻,单人,回合制,氛围,合作,剧情丰富,开放世界,角色扮演,血腥,战锤40K","CREATIVE ASSEMBLY,Feral Interactive (Linux),Feral Interactive (Mac)","SEGA,Feral Interactive (Linux),Feral Interactive (Mac)",268,PC,多人,是,"111,909"
DOOM Eternal,"动作,大师级,血腥,好评原声音轨,第一人称射击,暴力,恶魔,快节奏,第一人称视角,射击,单人,鲜血,多人,科幻,氛围,成人,末日,剧情丰富,冒险,恐怖",id Software,Bethesda Softworks,199,PC,单人,是,"104,598"
皇家领地,"大逃杀,免费,多人,射击,生存,抢先体验,玩家对战,动作,第三人称射击,第三人称视角,竞技,第一人称射击,团队导向,奇幻,大型多人在线,合作,开放世界,在线合作,网红,单人",Heroic Leap Games,Hi-Rez Studios,免费开玩,PC,多人,是,"104,557"
巫师3：狂猎,"开放世界,角色扮演,剧情丰富,氛围,成人,奇幻,冒险,大师级,单人,选择取向,裸露,好评原声音轨,第三人称视角,动作,中世纪,多结局,动作角色扮演,黑暗奇幻,魔法,黑暗",CD PROJEKT RED,CD PROJEKT RED,182,PC,单人,是,"103,171"
伊卡罗斯之炮OL,"蒸汽朋克,团队导向,多人,合作,动作,战术,独立,竞技,模拟,冒险,飞行,第一人称射击,在线合作,策略,玩家对战,第一人称视角,射击,职业导向,Kickstarter,大型多人在线",Muse Games,Muse Games,19,PC,多人,否,"102,258"
腐蚀,"生存,制作,多人,开放世界,开放世界生存制作,建造,沙盒,玩家对战,冒险,第一人称视角,动作,第一人称射击,裸露,合作,射击,抢先体验,独立,在线合作,末日,模拟",Facepunch Studios,Facepunch Studios,116,PC,多人,是,"102,177"
演化,"大型多人在线,动作,休闲,独立,模拟,太空,多人,街机,科幻","Eric Ruts,Jacob Kooiman",HyperReuts,36,PC,大型多人在线,是,"100,638"
天国：拯救,"中世纪,角色扮演,开放世界,拟真,单人,历史,第一人称视角,冒险,剧情丰富,剑术,动作,自选历险体验,选择取向,裸露,氛围,马匹,好评原声音轨,Kickstarter,独立,众筹",Warhorse Studios,"Warhorse Studios,Deep Silver",90,PC,单人,是,"95,863"
无主之地3,"角色扮演,动作,在线合作,刷宝射击游戏,射击,合作战役,血腥,第一人称射击,多人,暴力,寻宝,合作,开放世界,单人,第一人称视角,冒险,Epic,好评原声音轨,大师级,裸露",Gearbox Software,2K,199,PC,在线合作,是,"93,484"
神界：原罪2,"角色扮演,剧情丰富,回合制,合作,奇幻,角色定制,冒险,开放世界,策略,回合制战斗,多人,单人,电脑角色扮演,好评原声音轨,回合制战术,团队角色扮演,氛围,等角,独立,女性主角",Larian Studios,Larian Studios,133,PC,合作,是,"93,350"
太阳帝国的原罪：反叛,"策略,太空,即时战略,科幻,4X,多人,可模组化,战争,单人,外星人,探索,外交,即时,动作,合作,大战略,模拟,独立,好评原声音轨,冒险","Ironclad Games,Stardock Entertainment",Stardock Entertainment,116,PC,多人,是,"91,159"
文明5,"回合战略,策略,回合制,多人,历史,4X,欲罢不能,单人,六角格棋盘,大战略,重玩价值,合作,战术,经济,外交,可模组化,大师级,模拟,经典,好评原声音轨","Firaxis Games,Aspyr (Mac),Aspyr (Linux)","2K,Aspyr (Mac),Aspyr (Linux)",95,PC,多人,否,"91,020"
上古卷轴5：天际,"开放世界,角色扮演,奇幻,冒险,可模组化,龙,第一人称视角,动作,中世纪,单人,魔法,剧情丰富,好评原声音轨,沙盒,故事架构丰富,氛围,角色定制,大师级,动作角色扮演,第三人称视角",Bethesda Game Studios,Bethesda Softworks,68,PC,单人,否,"90,780"
孤岛惊魂5,"开放世界,动作,第一人称射击,合作,多人,冒险,射击,第一人称视角,单人,美国,剧情丰富,生存,潜行,狩猎,探索,氛围,角色定制,好评原声音轨,色情内容,裸露","Ubisoft Montreal,Red Storm,Ubisoft Shanghai,Ubisoft Toronto,Ubisoft Kiev",Ubisoft,248,PC,合作,是,"89,574"
古墓丽影,"冒险,动作,女性主角,第三人称视角,劳拉·克劳馥,单人,第三人称射击,剧情丰富,多人,探索,快速反应事件,氛围,动作冒险,射击,潜行,解谜,过场动画,平台游戏,大师级,角色扮演","Crystal Dynamics,Eidos-Montréal,Feral Interactive (Mac),Feral Interactive (Linux)","Square Enix,Feral Interactive (Mac),Feral Interactive (Linux)",68,PC,单人,否,"89,142"
鬼泣5,"动作,砍杀,好评原声音轨,恶魔,角色动作,唯美格斗,第三人称视角,单人,暴力,经典,风格化,血腥,剧情丰富,裸露,多人,困难,控制器,冒险,动漫,合作","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",733,PC,单人,是,"88,735"
星界边境,"开放世界生存制作,沙盒,生存,冒险,太空,制作,独立,多人,像素图形,二维,建造,角色扮演,探索,开放世界,动作,合作,科幻,单人,好评原声音轨,氛围",Chucklefish,Chucklefish,48,PC,多人,否,"88,355"
文明：太空,"策略,回合战略,科幻,太空,4X,回合制,多人,单人,未来,外星人,战术,六角格棋盘,大战略,重玩价值,探索,大师级,氛围,冒险,可模组化,模拟","Firaxis Games,Aspyr (Mac),Aspyr (Linux)","2K,Aspyr (Mac),Aspyr (Linux)",127,PC,多人,否,"86,747"
一级方程式赛车 2015,"竞速,汽车模拟,体育,模拟,驾驶,多人,拟真,单人,合作,第一人称视角,动作,控制器","Codemasters,Feral Interactive (Linux)","Codemasters,Feral Interactive (Linux)",50,PC,多人,否,"83,968"
隐形守护者,"角色扮演,冒险,独立,剧情丰富,选择取向,全动态影像,电影,历史,多结局,视觉小说,恋爱模拟,剧情",New One Studio,New One Studio,28,PC,单人,是,"82,173"
红色至日,"战术,策略,角色扮演,合作,多人,科幻,即时战略,纵轴,即时含暂停,即时,独立,外星人,在线合作,单人,Kickstarter,恐怖,好评原声音轨,即时战术,困难,氛围",Ironward,Nkidu Games Inc.,37,PC,合作,否,"81,972"
黑暗之魂2,"类魂系列,大师级,角色扮演,黑暗奇幻,困难,动作角色扮演,动作,低容错,冒险,探索,氛围,合作,多人,奇幻,Epic,玩家对战,第三人称视角,重玩价值,开放世界,黑暗","FromSoftware, Inc","BANDAI NAMCO Entertainment,FromSoftware, Inc",251,PC,合作,否,"79,528"
传说：命运之路,"冒险,角色扮演,动作,独立,选择取向,奇幻,动态记叙,砍杀,单人,动作角色扮演,彩色,剑术,多结局,好评原声音轨,剧情丰富,等角,欢乐,记叙,喜剧,动作冒险",Spearhead Games,Spearhead Games,48,PC,单人,否,"78,966"
足球经理2019,"模拟,体育,管理,足球,足球/美式足球,策略,多人,单人,欲罢不能,战术,经济,即时战术,休闲,免费",Sports Interactive,SEGA,,PC,多人,是,"75,981"
黎明杀机,"恐怖,生存恐怖,多人,合作,生存,潜行,血腥,在线合作,鲜血,第三人称视角,团队导向,氛围,动作,暴力,心理恐怖,第一人称视角,策略,喜剧,成人,困难",Behaviour Digital Inc.,Behaviour Digital Inc.,82,PC,多人,是,"75,044"
生化危机2 重制版,"僵尸,生存恐怖,恐怖,重制,单人,第三人称视角,血腥,动作,氛围,暴力,经典,解谜,剧情丰富,生存,黑暗,女性主角,冒险,多人,困难,射击","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",139,PC,单人,是,"74,024"
盖瑞模组,"沙盒,多人,欢乐,可模组化,建造,喜剧,合作,模组,第一人称视角,模拟,物理,在线合作,第一人称射击,单人,动作,射击,动画制作和建模,独立,大型多人在线,冒险",Facepunch Studios,Valve,36,PC,多人,是,"73,750"
战锤：末世鼠疫2,"合作,第一人称视角,砍杀,在线合作,多人,血腥,黑暗奇幻,动作,暴力,奇幻,PvE,游戏工坊,氛围,第一人称射击,动作角色扮演,独立,单人,生存,冒险,开放世界",Fatshark,Fatshark,401,PC,合作,是,"73,203"
Football Manager 2017,"体育,模拟,足球,管理,足球/美式足球,策略,战术,多人,单人,休闲,动作",Sports Interactive,SEGA,,PC,多人,是,"72,608"
太吾绘卷,"角色扮演,武术,沙盒,策略,抢先体验,开放世界,独立,单人,冒险,休闲,模拟,轻度 Rogue,恋爱模拟,建造,神话,类Rogue",ConchShip Games,ConchShip Games,68,PC,单人,是,"72,196"
全面战争：战锤2,"策略,奇幻,回合战略,即时战略,大战略,战争,多人,游戏工坊,动作,回合制,单人,黑暗奇幻,战术,合作,即时战术,氛围,剧情丰富,恐龙,战锤40K,好评原声音轨","CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA,Feral Interactive (Mac),Feral Interactive (Linux)",268,PC,多人,是,"72,112"
幽浮：未知敌人,"回合战略,战术,策略,科幻,回合制,外星人,单人,基地建设,回合制战术,低容错,重玩价值,欲罢不能,永久死亡,多人,角色定制,动作,角色扮演,困难,大师级,氛围","Firaxis Games,Feral Interactive (Linux)","2K,Feral Interactive (Linux)",95,PC,单人,否,"70,560"
狙击精英V2,"狙击手,动作,潜行,二战,合作,射击,第三人称射击,多人,单人,第三人称视角,战争,子弹时间,第一人称射击,战术,在线合作,历史,血腥,策略,模拟,冒险",Rebellion,Rebellion,94,PC,合作,否,"70,123"
上古卷轴5：天际特别版,"开放世界,角色扮演,冒险,单人,奇幻,角色定制,龙,可模组化,剧情丰富,魔法,第一人称视角,动作,氛围,好评原声音轨,第三人称视角,潜行,经典,重制,女性主角,步行模拟",Bethesda Game Studios,Bethesda Softworks,129,PC,单人,否,"69,777"
以撒的结合：重生,"动作类 Rogue,类Rogue,独立,重玩价值,困难,像素图形,迷宫探索,好评原声音轨,单人,黑暗,重制,二维,本地合作,血腥,程序生成,轻度 Rogue,氛围,动作,恐怖,合作","Nicalis, Inc.","Nicalis, Inc.",48,PC,单人,否,"69,673"
杀戮空间2,"僵尸,合作,血腥,第一人称射击,生存,动作,多人,在线合作,恐怖,射击,第一人称视角,团队导向,生存恐怖,好评原声音轨,氛围,困难,大师级,单人,抢先体验,独立",Tripwire Interactive,Tripwire Interactive,88,PC,合作,是,"69,246"
群星,"太空,策略,大战略,科幻,4X,即时含暂停,探索,多人,即时战略,单人,模拟,重玩价值,好评原声音轨,可模组化,沙盒,氛围,开放世界,剧情丰富,建造,冒险",Paradox Development Studio,Paradox Interactive,112,PC,多人,是,"68,517"
人渣,"生存,开放世界生存制作,开放世界,多人,僵尸,大型多人在线,抢先体验,动作,冒险,制作,拟真,暴力,裸露,独立,第一人称射击,单人,玩家对战,第三人称视角,血腥,角色扮演",Gamepires,Gamepires,90,PC,多人,是,"68,031"
中土世界：战争之影,"开放世界,动作,角色扮演,奇幻,单人,冒险,暴力,第三人称视角,血腥,潜行,战争,剧情丰富,动作角色扮演,砍杀,黑暗奇幻,中世纪,魔法,氛围,策略,好评原声音轨",Monolith Productions,WB Games,Demo Middle-earth™: Shadow of War™,PC,单人,是,"67,943"
无主之地：前传,"刷宝射击游戏,合作,第一人称射击,动作,喜剧,寻宝,角色扮演,开放世界,多人,射击,欢乐,在线合作,第一人称视角,太空,冒险,科幻,动作角色扮演,单人,网红,氛围","2K Australia,Gearbox Software,Aspyr (Linux)","2K,Aspyr (Linux)",127,PC,合作,否,"67,244"
饥荒联机版,"开放世界生存制作,生存,多人,合作,开放世界,冒险,制作,在线合作,沙盒,困难,独立,二维,欢乐,氛围,生存恐怖,策略,恐怖,单人,动作,模拟",Klei Entertainment,Klei Entertainment,24,PC,多人,是,"66,829"
又一个僵尸塔防,"僵尸,生存,多人,合作,塔防,动作,独立,射击,策略,在线合作,休闲,恐怖,纵轴,单人,等角,免费,本地合作,街机,困难,大师级",Awesome Games Studio,Awesome Games Studio,免费,PC,多人,否,"65,806"
点击英雄,"轻游戏,免费,休闲,单人,二维,独立,欢乐,欲罢不能,角色扮演,冒险,奇幻,模拟,策略,阖家,多人,触控,动作,管理,光明会,合作",Playsaurus,Playsaurus,免费游玩,PC,单人,是,"65,560"
生化奇兵：无限,"第一人称射击,剧情丰富,动作,单人,蒸汽朋克,氛围,大师级,射击,第一人称视角,架空,唯美,冒险,好评原声音轨,反乌托邦,科幻,时空旅行,奇幻,血腥,单线剧情,角色扮演","Irrational Games,Virtual Programming (Linux)",2K,95,PC,单人,否,"65,198"
反恐精英,"动作,第一人称射击,多人,射击,经典,团队导向,第一人称视角,竞技,战术,90 年代,电竞,玩家对战,复古,军事,策略,大师级,生存,竞分,80 年代,暗杀",Valve,Valve,37,PC,多人,是,"65,188"
星露谷物语,"农场模拟,生活模拟,角色扮演,像素图形,农业,模拟,放松,多人,制作,沙盒,独立,建造,单人,休闲,好评原声音轨,开放世界,二维,可爱,钓鱼,恋爱模拟",ConcernedApe,ConcernedApe,48,PC,多人,是,"64,256"
王国,"策略,像素图形,生存,殖民模拟,二维,中世纪,独立,塔防,单人,横向滚屏,资源管理,好评原声音轨,城市营造,模拟,类Rogue,休闲,氛围,冒险,困难,动作","Noio,Licorice",Raw Fury,22,PC,单人,否,"63,740"
无限法则,"免费,大逃杀,射击,多人,生存,动作,大型多人在线,第一人称射击,抢先体验,第三人称射击,开放世界,玩家对战,合作,第一人称视角,战术,暴力,沙盒,血腥,毁灭,单人",Aurora Studio,TCH Scarlet Limited,免费开玩,PC,多人,是,"63,435"
未转变者,"免费,生存,僵尸,开放世界生存制作,多人,开放世界,冒险,制作,动作,第一人称视角,合作,沙盒,射击,末日,第一人称射击,单人,大型多人在线,独立,休闲,氛围",Smartly Dressed Games,Smartly Dressed Games,免费游玩,PC,多人,否,"62,450"
表层指挥,"策略,独立,动作,二维,物理,沙盒,像素图形,本地合作,可模组化,科幻,单人,本地多人,困难,平台游戏,多人,分屏,即时战略,重玩价值,僵尸,4人本地",Data Realms,"Data Realms, LLC",68,PC,本地合作,否,"62,137"
刺客信条：奥德赛,"开放世界,角色扮演,暗杀,单人,动作,历史,冒险,潜行,剧情丰富,第三人称视角,女性主角,跑酷,色情内容,选择取向,暴力,氛围,多人,裸露,好评原声音轨,血腥","Ubisoft Quebec,Ubisoft Montreal,Ubisoft Bucharest,Ubisoft Singapore,Ubisoft Montpellier,Ubisoft Kiev,Ubisoft Shanghai",Ubisoft,248,PC,单人,是,"61,984"
恐怖黎明,"动作角色扮演,黑暗奇幻,砍杀,角色扮演,寻宝,迷宫探索,黑暗,合作,多人,单人,奇幻,动作,冒险,氛围,等角,末日,独立,僵尸,Kickstarter,众筹",Crate Entertainment,Crate Entertainment,78,PC,合作,是,"61,093"
侏罗纪世界：进化,"建造,恐龙,模拟,管理,策略,沙盒,单人,城市营造,科幻,经济,资源管理,开放世界,暴力,氛围,动作,好评原声音轨,生存,多人,休闲,冒险",Frontier Developments,Frontier Developments,120,PC,单人,是,"60,296"
