游戏名,类型,开发商,发行商,价格,平台,性质,是否支持中文,历史在线峰值
stikir,"独立,动作,冒险,像素图形,抽象,单人,短片,探索,平台游戏,超现实,二维,氛围,试验性,休闲,讽刺,唯美,喜剧,心理,解谜,悬疑",Bilge Kaan,Bilge Kaan,15,PC,单人,否,9
Raccoo Venture,"冒险,独立,动作,抢先体验,3D 平台,平台游戏,单人,控制器,彩色,阖家,探索,怀旧,平台解谜,90 年代,卡通,可爱,卡通化,解谜,欢乐,经典",Diego Ras,Diego Ras,43,PC,单人,否,9
House of Nightmares B-Movie Edition,"独立,抢先体验,解谜,恐怖,第一人称视角",Morphodox Studios,Morphodox Studios,6,PC,单人,否,9
Treasures of the Ancients: Egypt,"冒险,独立,休闲,平台游戏","Garage Games,Jan Hess",Garage Games,6,PC,单人,否,9
Gulman 4: Still alive,"心理恐怖,剧情丰富,网红,动作,恐怖,氛围,第一人称射击,裸露,女性主角,动漫,射击,好评原声音轨,恋爱模拟,第一人称视角,单人,大师级,独立,色情内容,阖家,血腥",Serzhantov Aleksandr,Serzhantov Aleksandr,34,PC,单人,否,9
Minion Forest,"冒险,休闲",V8 Corporation,V8 Corporation,,PC,单人,是,9
Negligee: Love Stories,"色情内容,裸露,冒险,休闲,独立,动漫,成人,视觉小说",Dharker Studio,Dharker Studios Ltd,50,PC,单人,否,9
Courier of the Crypts,"冒险,独立,像素图形,怀旧,单人,困难,迷宫探索,解谜,二维",Emberheart Games,Emberheart Games,54,PC,单人,否,9
Clash of Robots,"动作,大型多人在线,策略,角色扮演,格斗",Timuz Games,Timuz Games,36,PC,大型多人在线,是,9
Legendary Mahjong,"独立,休闲",IP Izmailov Vladimir Yurievich,IP Izmailov Vladimir Yurievich,25,PC,单人,否,9
Red Alliance,"动作,独立,冒险,第一人称射击,氛围,单人,第一人称视角,探索,恐怖,射击,科幻,生存恐怖,反乌托邦,单线剧情,物理,解谜",2ndUp Studios,2ndUp Studios,41,PC,单人,否,9
Arma: Cold War Assault Mac/Linux,"动作,模拟,策略,暴力",Bohemia Interactive,Bohemia Interactive,24,PC,单人,否,9
Wasteland Angel,"动作,独立,末日,女性主角,街机,射击,竞速,垂直卷轴射击,纵轴","Octane Games,Meridian4",Meridian4,36,PC,单人,否,9
Fear the Dark Unknown,"动作,冒险,独立,恐怖,生存恐怖,心理恐怖,女性主角",Dreamlight Games Studios SL,Dreamlight Games Studios SL,80,PC,单人,否,9
Mountain Trap 2: Under the Cloak of Fear,"独立,休闲,隐藏物体,解谜,指向 &amp; 点击,单人,推理,悬疑,犯罪,女性主角,仅鼠标,魔法",Color Brush Studio,RunServer,28,PC,单人,否,9
Dual Snake,"休闲,冒险,独立,困难,解谜",Yfrit Games,Yfrit Games,18,PC,单人,否,9
Tiny Bubbles,"模拟,解谜,物理,休闲,独立,策略,彩色,水底",Pine Street Codeworks LLC,Pine Street Codeworks LLC,37,PC,单人,是,9
Snow White Solitaire. Charmed Kingdom,"卡牌游戏,纸牌,休闲,冒险,独立,隐藏物体",DigiMight,DigiMight,28,PC,单人,否,9
佣兵战歌,"独立,休闲,冒险,策略,角色扮演,免费,复古,类Rogue",酷呐网络科技,酷呐网络科技,35,PC,单人,是,9
Raccoo Venture,"冒险,独立,动作,抢先体验,3D 平台,平台游戏,单人,控制器,彩色,阖家,探索,怀旧,平台解谜,90 年代,卡通,可爱,卡通化,解谜,欢乐,经典",Diego Ras,Diego Ras,43,PC,单人,否,9
Containment,"休闲,独立,策略,模拟,解谜,单人,短片,回合战略,回合制,好评原声音轨,关卡编辑,困难,可爱,重玩价值,情境",Finite Reflection Studios,Finite Reflection Studios,11,PC,单人,否,9
Aaru's Awakening,"独立,冒险,动作,平台游戏,平台解谜,困难,手绘",Lumenox ehf,Lumenox ehf,48,PC,单人,否,9
Dungeons & Treasure VR,"动作类 Rogue,动作,独立,冒险,虚拟现实,迷宫探索,奇幻,合作,多人,轻度 Rogue,角色扮演,重玩价值,卡通化,在线合作,动作冒险,砍杀,类Rogue",SDC Ventures,SDC Ventures,68,PC,合作,是,9
INVITATION,"血腥,暴力,动作,冒险,独立,生存恐怖,恐怖,心理恐怖,心理,生存",XIV STUDIO,XIV STUDIO,43,PC,单人,否,9
Techwars Online,"策略,大型多人在线,独立,动作,回合战略,战术,多人,机甲世界,单人,桌游,回合制",Argus Games,Argus Games,22,PC,大型多人在线,是,9
Mobile Wars X,"免费,动作,独立,休闲,清版射击",NAPE GAMES,NAPE GAMES,免费开玩,PC,单人,否,9
Farm Frenzy 3 American Pie,"休闲,农业",Alawar,iWin,36,PC,单人,否,9
Farm Frenzy Pizza Party,"休闲,农业",Alawar,iWin,21,PC,单人,否,9
GTGD S3 How To Make A Game,"游戏开发,教育,软件培训",GTGD,GTGD,138,PC,其他,否,9
stikir,"独立,动作,冒险,像素图形,抽象,单人,短片,探索,平台游戏,超现实,二维,氛围,试验性,休闲,讽刺,唯美,喜剧,心理,解谜,悬疑",Bilge Kaan,Bilge Kaan,15,PC,单人,否,9
Getaway Island,"色情内容,裸露,休闲,独立,视觉小说,动漫","Schoolfield Games, LLC","Schoolfield Games, LLC",18,PC,单人,否,9
Black Swan,"休闲,冒险,隐藏物体,指向 &amp; 点击",Space Monkey International,Shaman Games Studio,28,PC,单人,否,9
Negligee: Love Stories,"色情内容,裸露,冒险,休闲,独立,动漫,成人,视觉小说",Dharker Studio,Dharker Studios Ltd,50,PC,单人,否,9
Mortadelo y Filemón: Una aventura de cine - Edición especial,"冒险,指向 &amp; 点击,喜剧",Alcachofa Soft,Erbe Software,41,PC,单人,否,9
Precursors,"动作,角色扮演,第一人称射击,太空,科幻,开放世界",Deep Shadows,GFI,48,PC,单人,否,9
BIG POGO MAN,"体育,冒险,独立,休闲",WooJuDev,WooJuDev,22,PC,单人,否,9
Chevo Lurker: Exodus,"动作,冒险,角色扮演,RPG制作大师",Perverse Games,Perverse Games,6,PC,单人,否,9
Hegis' Grasp: Evil Resurrected,"冒险,动作,血腥,暴力,独立,恐怖,生存,生存恐怖,好评原声音轨",Odd Branch Studio,Odd Branch Studio,免费游玩,PC,单人,否,9
Keep Defending,"独立,动作,虚拟现实,射箭,塔防",Faster Time Games Limited,Faster Time Games Limited,22,PC,单人,否,9
Wheel of Fate,"角色扮演,独立,抢先体验,人工智能,回合制战斗","UDX Interactive Inc.,Game Pill Inc.",UDX Interactive Inc.,50,PC,单人,否,9
Toki,"冒险,平台游戏,怀旧,困难,街机,经典,二维",Microids,Microids,70,PC,单人,否,9
【SCP】器関ノ彷徨 -The will of a single Tale- 本編：第１部,"免费,模拟,冒险,视觉小说,动漫",Stoner Tomohito,GESTALT-§,免费,PC,单人,是,9
Painkiller: Resurrection,"动作,第一人称射击,恐怖,射击",Homegrown Games,THQ Nordic,36,PC,单人,否,9
Rising Hell,"动作类 Rogue,独立,动作,轻度 Rogue,抢先体验,血腥,暴力,像素图形,平台游戏,单人,好评原声音轨,困难,二维,重玩价值,程序生成,奇幻,类Rogue,清版动作,街机,恶魔",Tahoe Games,"Toge Productions,Another Indie",37,PC,单人,是,9
The Curse of the Werewolves,"休闲,隐藏物体,指向 &amp; 点击,狼人,解谜,冒险",Nordcurrent,Nordcurrent,36,PC,单人,否,9
Blackbox,"免费,模拟,虚拟现实",TRT World,TRT World,免费开玩,PC,单人,否,9
The Adventures of Jason and the Argonauts,"休闲,动作,独立,策略,三消,仅鼠标",PixQuake,HH-Games,22,PC,单人,否,9
MEGAMiX,"免费,独立",Beatsie Boys,Beatsie Boys,免费开玩,PC,单人,否,9
Northern Tale 2,"休闲,策略,模拟,冒险,时间管理",Realore,Qumaron,18,PC,单人,否,9
Masked Forces: Zombie Survival,"动作,独立,僵尸,多人,血腥,第一人称射击,合作,鲜血,射击,恐怖,第一人称视角,生存恐怖,生存,单人,在线合作,玩家对战,狙击手",FreezeNova,FreezeNova,6,PC,多人,否,9
Astray,"冒险,独立,恐怖,解谜,第一人称视角,氛围,黑暗,单人,生存恐怖,心理恐怖,生存,洛夫克拉夫特式",Aegon Games,Aegon Games,28,PC,单人,否,9
NeonBall,"休闲,独立,阖家,困难",Nelium Games,Nelium Games,免费开玩,PC,单人,否,9
Into the Radius VR,"独立,氛围,单人,射击,拟真,抢先体验,动作,虚拟现实,第一人称射击,生存,模拟,第一人称视角,自制枪械,大师级,物理,末日",CM Games,CM Games,90,PC,单人,否,9
Disdoored,"独立,动作,模拟,冒险,抢先体验,大型多人在线,合作,生存,等角,手绘,彩色,喜剧,探索,欢乐,制作,超现实,单人,好评原声音轨,二维,氛围",Anton Riot and Co,Bitbox Ltd.,70,PC,大型多人在线,是,9
Masked Forces: Zombie Survival,"动作,独立,僵尸,多人,血腥,第一人称射击,合作,鲜血,射击,恐怖,第一人称视角,生存恐怖,生存,单人,在线合作,玩家对战,狙击手",FreezeNova,FreezeNova,6,PC,多人,否,9
Astray,"冒险,独立,恐怖,解谜,第一人称视角,氛围,黑暗,单人,生存恐怖,心理恐怖,生存,洛夫克拉夫特式",Aegon Games,Aegon Games,28,PC,单人,否,9
Northern Tale 2,"休闲,策略,模拟,冒险,时间管理",Realore,Qumaron,18,PC,单人,否,9
Mortadelo y Filemón: Una aventura de cine - Edición especial,"冒险,指向 &amp; 点击,喜剧",Alcachofa Soft,Erbe Software,41,PC,单人,否,9
WORLDS AT WAR (Monitor & VR),"抢先体验,动作,独立,模拟,虚拟现实,战争,清版射击,单人,第三人称视角,第一人称视角,飞行,科幻",Muddy Pixel,Muddy Pixel,70,PC,单人,否,9
Wheel of Fate,"角色扮演,独立,抢先体验,人工智能,回合制战斗","UDX Interactive Inc.,Game Pill Inc.",UDX Interactive Inc.,50,PC,单人,否,9
Cosmonator,"动作,独立,角色扮演,清版射击,垂直卷轴射击,弹幕射击,纵轴,街机,科幻,射击,抢先体验,太空,复古,毁灭,外星人,动作角色扮演",Bourbontank,Bourbontank,28,PC,单人,否,9
【SCP】器関ノ彷徨 -The will of a single Tale- 本編：第１部,"免费,模拟,冒险,视觉小说,动漫",Stoner Tomohito,GESTALT-§,免费,PC,单人,是,9
The Adventures of Jason and the Argonauts,"休闲,动作,独立,策略,三消,仅鼠标",PixQuake,HH-Games,22,PC,单人,否,9
Crazy Otto,"动作,独立,休闲,二维,4人本地,像素图形,极简主义,竞技,复古,解谜,阖家,策略,80 年代",Extend Mode,Extend Mode,18,PC,单人,是,9
Kung Fu Panda Showdown of Legendary Legends,"动作,格斗,剧情丰富,动漫,色情内容,裸露,困难",Vicious Cycle Software,Little Orbit,,PC,单人,否,9
liteCam Android: No Root Android Screen Recorder,"视频制作,实用工具,教育,软件培训","RSUPPORT Co., LTD.","RSUPPORT Co., LTD.",36,PC,其他,否,9
Rising Hell,"动作类 Rogue,独立,动作,轻度 Rogue,抢先体验,血腥,暴力,像素图形,平台游戏,单人,好评原声音轨,困难,二维,重玩价值,程序生成,奇幻,类Rogue,清版动作,街机,恶魔",Tahoe Games,"Toge Productions,Another Indie",37,PC,单人,是,9
Hegis' Grasp: Evil Resurrected,"冒险,动作,血腥,暴力,独立,恐怖,生存,生存恐怖,好评原声音轨",Odd Branch Studio,Odd Branch Studio,免费游玩,PC,单人,否,9
BeanVR,"免费,大型多人在线,虚拟现实,休闲,教育,动作",Shenzhen BeanVR Technology Co.Ltd,Shenzhen BeanVR Technology Co.Ltd,免费,PC,大型多人在线,是,9
Blackbox,"免费,模拟,虚拟现实",TRT World,TRT World,免费开玩,PC,单人,否,9
Negligee: Love Stories,"色情内容,裸露,冒险,休闲,独立,动漫,成人,视觉小说",Dharker Studio,Dharker Studios Ltd,50,PC,单人,否,9
Webcam World View,"视频制作,教育,软件,太空,拟真,实用工具,全动态影像,开放世界,探索",Travel And Play,Travel And Play,11,PC,其他,否,9
Season's Beatings,"血腥,动作,暴力,独立,第一人称射击",Code Avarice,Code Avarice,37,PC,单人,否,9
iZBOT,"独立,动作,平台游戏,二维,像素图形,精确平台",Daniel Spruce,Ruxar,75,PC,单人,否,9
Eisenbahn X,"模拟,火车","TREND, Softpro",Koch Media,112,PC,单人,否,9
Z. Year One,"卡牌战斗,牌组构建,策略,血腥,独立,暴力,卡牌游戏,僵尸,Kickstarter",Downward Viral,Downward Viral,48,PC,单人,否,9
Zombie Solitaire 2 Chapter 2,"纸牌,休闲,独立,策略,交易卡牌,僵尸,桌游,解谜,三消",rokaplay,rokaplay,35,PC,单人,否,9
Dungeon Crowley,"角色扮演,独立,动作,血腥,合作战役,暴力,抢先体验,迷宫探索,在线合作,砍杀,合作,程序生成,PvE,动作角色扮演,开放世界,类Rogue,第一人称射击",Animvs Game Studio,Animvs Game Studio,55,PC,合作战役,否,9
Adventures Of Fluzz,"休闲,动作,冒险,独立,平台游戏",TopArcadeApps,TopArcadeApps,18,PC,单人,否,9
SteelLIFE,"冒险,独立,休闲,指向 &amp; 点击",AxiPLAY,AxiPLAY,26,PC,单人,否,8
"Object ""Cleaning""","独立,动作,冒险,策略,怀旧,困难,垂直卷轴射击",Primitive Studio,Droid Riot,15,PC,单人,否,8
Global Soccer Manager 2017,"体育,策略,模拟,独立,休闲,足球,管理","Forever Young Games,Andrea Hochstein",Forever Young Games,36,PC,单人,否,8
Some Distant Memory,"冒险,休闲,独立,末日,科幻,剧情丰富,悬疑,氛围,单人,伪3D,短片,女性主角,步行模拟",Galvanic Games,Way Down Deep,43,PC,单人,是,8
Real Warfare,"策略,即时战略,中世纪",Unicorn Games Studio,1C Entertainment,18,PC,单人,否,8
UBERMOSH:SANTICIDE,"独立,动作,快节奏,街机,赛博朋克,好评原声音轨,怀旧,女性主角,像素图形,非主流经典",Walter Machado,Walter Machado,20,PC,单人,否,8
Christmas Puzzle,"休闲,三消,解谜,独立",Notus Games Ltd,Notus Games Ltd,37,PC,单人,否,8
1 Screen Platformer,"精确平台,2D 平台,平台游戏,困难,像素图形,横向滚屏,女性主角,独立,动作,冒险,二维,单人,怀旧","Return To Adventure Mountain, LLC","Return To Adventure Mountain, LLC",15,PC,单人,否,8
Fort Zombie,"动作,独立,角色扮演,血腥,暴力,僵尸",Kerberos Productions Inc.,Kerberos Productions Inc.,18,PC,单人,否,8
Cat Lady,"独立,动作,冒险,双摇杆射击,动作类 Rogue,恐怖,轻度 Rogue,抢先体验,女性主角,可爱,猫,好评原声音轨,二维,快节奏",Rose City Games,VIZ Media,37,PC,单人,否,8
Endless RPG,"角色扮演,冒险,独立,策略,开放世界,回合制战斗,程序生成,单人,自选历险体验,团队角色扮演,角色定制,二维,回合制,回合制战术,重玩价值,团队导向,永久死亡,中世纪",Kezarus,Kezarus,17,PC,单人,否,8
Real Warfare,"策略,即时战略,中世纪",Unicorn Games Studio,1C Entertainment,18,PC,单人,否,8
No King No Kingdom VR,"动作,策略,独立,模拟,虚拟现实,即时战术,基地建设",Fullmetal Developer,Fullmetal Developer,70,PC,单人,否,8
Pixel Xiuzhen,"独立,冒险,角色扮演,开放世界,类Rogue",Cloudmoon Studios,Cloudmoon Studios,28,PC,单人,是,8
战斧传说,"动作,休闲,策略,冒险,角色扮演,虚拟现实,独立,抢先体验,模拟",Subversion Squad Studio,Subversion Squad Studio,60,PC,单人,是,8
Christmas Puzzle,"休闲,三消,解谜,独立",Notus Games Ltd,Notus Games Ltd,37,PC,单人,否,8
Rogue Bit,"独立,模拟,编程,解谜,黑客,逻辑,单人,短片,教育,困难,好评原声音轨",Bigosaur,Bigosaur,22,PC,单人,否,8
REDO!,"动作,冒险,女性主角,像素图形,氛围,类银河战士恶魔城,二维,困难,科幻,黑暗,独立,探索,末日,低容错,非线性",Robson Paiva,Robson Paiva,37,PC,单人,否,8
TSM3:Gemini Strategy/双子战纪,"抢先体验,角色扮演,策略,动漫,RPG制作大师,回合制战斗,回合制战术,像素图形,战术,剧情丰富,二维,单人,独立,奇幻,经典,寻宝,怀旧,回合战略,策略角色扮演,战术角色扮演",Gemini Stars Games,Gemini Stars Games,49,PC,单人,是,8
Hard Light Vector,"免费,动作,独立,冒险,第一人称视角,3D 平台,快节奏","Actually A Game Company, L.L.C","Actually A Game Company, L.L.C",免费,PC,单人,否,8
Close Your Eyes -Anniversary Remake-,"独立,冒险,色情内容,血腥,暴力,裸露,抢先体验,恐怖,RPG制作大师,心理恐怖,悬疑,剧情丰富,超现实,迷幻,成人,探索,氛围,解谜,心理,黑暗",Yai Gameworks,Yai Gameworks,31,PC,单人,否,8
Mystery Case Files: Huntsville ,"休闲,隐藏物体,悬疑",Big Fish Games,Big Fish Games,36,PC,单人,否,8
Nyasha,"独立,休闲,裸露,色情内容,解谜,动漫",Zloy Krot Studio,IR Studio,11,PC,单人,否,8
Some Distant Memory,"冒险,休闲,独立,末日,科幻,剧情丰富,悬疑,氛围,单人,伪3D,短片,女性主角,步行模拟",Galvanic Games,Way Down Deep,43,PC,单人,是,8
Trigonarium,"动作,独立,清版射击,双摇杆射击,街机",Kimmo Lahtinen,Kimmo Factor Oy,22,PC,单人,否,8
Dirty Harry's Thunder Drive,"免费,动作,休闲,模拟,体育,竞速,物理,沙盒",Thunder Clap,Thunder Clap,免费,PC,单人,否,8
Bloody Glimpse,"动作,独立,模拟,第一人称射击",Racing Bros,Racing Bros,22,PC,单人,否,8
Vrerience,"实用工具,虚拟现实","Rick Evenhuis,Lieke Dodkin,Fernando de Cea",Malintis,,PC,其他,否,8
反现实症候群γ - Counterrealstic Syndrome γ,"免费,独立,冒险,RPG制作大师",Dr.Liao,迷糊的安安,免费开玩,PC,单人,是,8
Where Thoughts Go: Resolutions,"免费,独立,休闲,虚拟现实",Lucas Rizzotto,Thought Co.,,PC,单人,否,8
Redium,"动作,冒险,独立,血腥",ZovGame,Errigar Games,11,PC,单人,否,8
Kinacoustic,"休闲,独立,模拟,音乐,物理,极简主义,平台游戏,困难,放松",Maithonis Studios,Maithonis Studios,37,PC,单人,否,8
300 Dwarves,"休闲,塔防",Artifex Mundi,"Viva Media, Inc",28,PC,其他,否,8
1 Screen Platformer,"精确平台,2D 平台,平台游戏,困难,像素图形,横向滚屏,女性主角,独立,动作,冒险,二维,单人,怀旧","Return To Adventure Mountain, LLC","Return To Adventure Mountain, LLC",15,PC,单人,否,8
Contact Draw: Bowling,"独立,休闲,模拟,冒险,体育",Star Legion,Star Legion,11,PC,单人,否,8
