游戏名,类型,开发商,发行商,价格,平台,性质,是否支持中文,历史在线峰值
Dark Grim Mariupolis,"冒险,独立,黑色,机器人,氛围,二维,单人,黑暗,恶魔,游戏制作",Team Mariupolis,Xitilon,24,PC,单人,否,32
Hot And Lovely 2,"休闲,独立,策略,动作,角色扮演,色情内容,裸露,成人,动漫",Lovely Games,Lovely Games,11,PC,单人,是,32
Blackwood Crossing,"冒险,独立,剧情丰富,女性主角,步行模拟,第一人称视角,单人,短片",PaperSeven LTD,Vision Games Publishing LTD,52,PC,单人,否,32
闪闪萤火虫,"独立,动作,冒险,休闲,平台游戏",Stage Clear Studios,Headup Games,36,PC,单人,否,32
Monsterplants vs Bowling : Arcade Edition,"动作,虚拟现实",Payoff Technologies,Payoff Technologies,22,PC,单人,否,32
Townsmen VR,"模拟,策略,抢先体验,虚拟现实,创世神,城市营造,资源管理,休闲,独立,建造,体验,阖家,唯美,氛围,中世纪,单人,3D",HandyGames,HandyGames,37,PC,单人,否,32
水浒传：天命之誓,策略,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",42,PC,单人,否,32
Holy Avatar vs. Maidens of the Dead,"角色扮演,休闲,独立,冒险,策略,僵尸,谐仿,回合制,喜剧,欢乐,策略角色扮演,单人,团队角色扮演,战术,回合战略,回合制战术,奇幻,动作",Silent Dreams,Headup,36,PC,单人,否,32
Dinosis Survival,"模拟,冒险,动作,恐龙,生存,独立,多人,开放世界,第三人称射击,狩猎,单人,射击,第三人称视角,动作冒险,悬疑,潜行,氛围,角色动作,清版射击,剧情丰富",Corpix Games,Corpix Games,21,PC,多人,否,32
Matchville,"免费,休闲,冒险,三消,抢先体验",Creobit,8Floor,免费开玩,PC,单人,否,32
Magic Nations,"策略,独立,免费,卡牌游戏,回合战略,交易卡牌,多人,奇幻,阖家,回合制,解谜,桌游,玩家对战",PrimeBit Games S.A.,PrimeBit Games S.A.,37,PC,多人,否,32
Love at Elevation,"冒险,色情内容,角色扮演,独立,文字为基础",Hosted Games,Hosted Games,26,PC,单人,否,32
CARRUMBLE,"动作,独立,免费,大型多人在线,体育,休闲,多人,玩家对战,快节奏,清版动作,控制器,竞技,多人在线战术竞技,欢乐,摔角,格斗",3DClouds,3DClouds,免费开玩,PC,大型多人在线,是,32
Magic Nations,"策略,独立,免费,卡牌游戏,回合战略,交易卡牌,多人,奇幻,阖家,回合制,解谜,桌游,玩家对战",PrimeBit Games S.A.,PrimeBit Games S.A.,37,PC,多人,否,32
Grail to the Thief,"冒险,独立,休闲,自选历险体验,互动小说,时空旅行,科幻",For All To Play,For All To Play,免费游玩,PC,单人,否,32
Transport Services,"策略,模拟,独立,火车,解谜",Hammer Games,Hammer Games,37,PC,单人,否,32
吸血鬼德古拉4 5,"冒险,指向 &amp; 点击,解谜",Koalabs,Microids,31,PC,单人,否,32
破东荒,"动作,角色扮演,独立",凌剑工作室,方块游戏(CubeGame),36,PC,单人,是,32
Badiya,"冒险,角色扮演,抢先体验,动作,独立,生存,模拟,开放世界,程序生成,一战,动作冒险",Semaphore,Semaphore,70,PC,单人,否,32
Dinosis Survival,"模拟,冒险,动作,恐龙,生存,独立,多人,开放世界,第三人称射击,狩猎,单人,射击,第三人称视角,动作冒险,悬疑,潜行,氛围,角色动作,清版射击,剧情丰富",Corpix Games,Corpix Games,21,PC,多人,否,32
女神骑士团：爆裂,"动作,弹幕射击,清版射击,动漫,裸露,街机,色情内容","Moss Co., Ltd.","H2 Interactive Co., Ltd.",70,PC,单人,否,32
地下城英雄RPG,"角色扮演,休闲,动作,冒险,独立,迷宫探索,奇幻,卡通化,卡通,第一人称视角,虚拟现实,经典",Grzegorz Slazinski,Grzegorz Slazinski,37,PC,单人,否,32
LOGistICAL 2,"休闲,策略,独立,解谜,免费,资源管理,教育,交通运输",Sacada,Sacada,免费游玩,PC,单人,否,32
Super Club Soccer,"免费,体育,抢先体验,足球,多人,回合制,足球/美式足球,在线合作,团队导向,合作",Trick27 Studios Limited,Trick27 Studios Limited,免费开玩,PC,多人,否,32
Air Missions: HIND,"模拟,动作,飞行,休闲,独立,军事,多人,射击,合作,拟真,战术,团队导向,单人",3Division,3Division,55,PC,多人,是,32
裂隙奔跑者,"独立,动作,快节奏,平台游戏,未来,彩色,怀旧,单人,好评原声音轨,跑酷,风格化,限时,二维,横向滚屏,80 年代,重玩价值,街机,困难,竞速,控制器",IMakeGames,IMakeGames,41,PC,单人,否,32
Wer weiß denn sowas?,"独立,休闲,模拟,竞技,本地多人,4人本地,氛围,本地合作,在线合作",Lost the Game Studios,bitComposer Interactive GmbH,70,PC,本地多人,否,32
水浒传：天命之誓,策略,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",42,PC,单人,否,32
Disassembly VR,"动作,独立,模拟,虚拟现实,解谜,毁灭,沙盒,物理,拟真",Khor Chin Heong,Khor Chin Heong,90,PC,单人,否,32
Gulf of Aden - Task Force Somalia,"策略,动作,独立,模拟",BlewScreen,BlewScreen,31,PC,单人,否,32
World of Subways 3 – London Underground Circle Line,"模拟,拟真,休闲,火车,驾驶,独立,冒险,单人,地底,放松,氛围,彩色,重玩价值,开放世界,恐怖",TML-Studios,Aerosoft GmbH,71,PC,单人,否,32
Combat Wings: Battle of Britain,"模拟,飞行,二战,多人,街机,动作",City Interactive,CI Games,21,PC,多人,否,32
Monsterplants vs Bowling : Arcade Edition,"动作,虚拟现实",Payoff Technologies,Payoff Technologies,22,PC,单人,否,32
RUCKBALL,"体育,动作,独立,多人,免费,足球,竞技,科幻,六自由度,抢先体验,在线合作,团队导向,太空,格斗,第一人称射击",The Architects Republic,The Architects Republic,免费开玩,PC,多人,否,31
灵魂枯萎,"独立,角色扮演,动作,轻度 Rogue,迷宫探索,纵轴,程序生成,黑暗奇幻,重玩价值,生存,类Rogue,困难,动作角色扮演,黑暗,动作类 Rogue,选择取向,类魂系列,单人,二维",My Next Games,Movie Games S.A.,Soulblight Demo,PC,单人,否,31
小黑屋,"暴力,独立,血腥,冒险,抢先体验,黑色喜剧,喜剧,氛围,角色扮演,怀旧,文字为基础,解谜","Stirfire Studios,The Fear Corp",Stirfire Studios,47,PC,单人,否,31
The Celtos,"大型多人在线,独立,角色扮演,免费,冒险,大型多人在线角色扮演,二维","Douglas Mello,Gabriel Rodrigues",The Celtos,免费开玩,PC,大型多人在线,否,31
Outside the Lines,"免费,休闲,独立,动作,彩色,像素图形,双摇杆射击,多人",DecadeDecaf,DecadeDecaf,免费,PC,多人,否,31
The Cursed Forest,"恐怖,冒险,独立,氛围,探索,第一人称视角,步行模拟,黑暗,剧情丰富,单人,悬疑,开放世界,灵异,推理调查,拟真,解谜,黑色幽默,剧情,抢先体验","KPy3O,Noostyche",Noostyche,15,PC,单人,否,31
Sally's Salon: Kiss & Make-Up,"休闲,冒险,策略,时间管理,女性主角,喜剧,剧情丰富",GameHouse,GameHouse,43,PC,单人,是,31
Evertree Inn,"独立,冒险,角色扮演,自选历险体验,文字为基础",Hosted Games,Hosted Games,18,PC,单人,否,31
Arcane Showdown,"免费,策略,抢先体验,即时战略,即时战术,等角,玩家对战,合作",Big Huge Games Inc,Big Huge Games Inc,免费开玩,PC,合作,否,31
星光漂流者,"独立,冒险,休闲,裸露,视觉小说,LGBTQ+,科幻,色情内容,太空,女性主角",Dharker Studio,Dharker Studios Ltd,70,PC,单人,否,31
테일즈샵 퍼즐,"休闲,免费,独立,解谜,动漫","TALESSHOP Co., Ltd.","TALESSHOP Co., Ltd.",免费开玩,PC,单人,否,31
Parker & Lane,"休闲,冒险,模拟,推理,犯罪,时间管理","Big Blue Studios,GameHouse",GameHouse,43,PC,单人,是,31
Blautopf VR - Geheimnis der Lau,"冒险,免费,模拟,虚拟现实",Pixelcloud,"Südwestrundfunk,Tellux next",免费,PC,单人,否,31
Solstice,"独立,冒险,视觉小说,角色扮演,选择取向,女性主角,剧情丰富,游戏制作,单人,多结局,奇幻,好评原声音轨,爱情,少女游戏,自选历险体验,LGBTQ+,悬疑,唯美",MoaCube,MoaCube,68,PC,单人,否,31
Sol705,"免费,冒险,独立,休闲,指向 &amp; 点击",Land Patricio,Land Patricio,免费开玩,PC,单人,否,31
小黑屋,"暴力,独立,血腥,冒险,抢先体验,黑色喜剧,喜剧,氛围,角色扮演,怀旧,文字为基础,解谜","Stirfire Studios,The Fear Corp",Stirfire Studios,47,PC,单人,否,31
Solstice,"独立,冒险,视觉小说,角色扮演,选择取向,女性主角,剧情丰富,游戏制作,单人,多结局,奇幻,好评原声音轨,爱情,少女游戏,自选历险体验,LGBTQ+,悬疑,唯美",MoaCube,MoaCube,68,PC,单人,否,31
Valor Time,"免费,角色扮演,大型多人在线,动作,中世纪",ObjectOnIT,ObjectOnIT,免费,PC,大型多人在线,否,31
RUCKBALL,"体育,动作,独立,多人,免费,足球,竞技,科幻,六自由度,抢先体验,在线合作,团队导向,太空,格斗,第一人称射击",The Architects Republic,The Architects Republic,免费开玩,PC,多人,否,31
Frog Detective 2: The Case of the Invisible Wizard,"独立,冒险,推理,可爱,大师级,悬疑,短片,欢乐,放松,喜剧,休闲,单人,好评原声音轨,探索,自然,剧情丰富","Grace Bruxner,Thomas Bowker","worm club,SUPERHOT PRESENTS",22,PC,单人,否,31
Cmoar VR Cinema,"虚拟现实,模拟,实用工具,视频制作",Pixel Edge Games,Pixel Edge Games,36,PC,单人,否,31
Star Control: The Ur-Quan Masters,"策略,动作,冒险,独立,模拟,多人",Toys for Bob,Stardock Entertainment,18,PC,多人,否,31
Heart of the House,"独立,冒险,角色扮演,选择取向,文字为基础,自选历险体验",Choice of Games,Choice of Games,26,PC,单人,否,31
Mahjong Magic Islands,"免费,休闲",Rainbow Games,Rainbow Games,免费游玩,PC,单人,否,31
Mystery Island - Hidden Object Games,"免费,休闲,独立,冒险,隐藏物体,指向 &amp; 点击,单人,解谜,悬疑,阖家,重玩价值,氛围,放松,竞技,彩色,科幻,经典",Crisp App Studio,Crisp App Studio,免费开玩,PC,单人,是,31
光与暗之恋曲,"色情内容,裸露,模拟,独立,角色扮演,视觉小说,恋爱模拟",Forace,Forace,58,PC,单人,是,31
The Battle of Sol,"模拟,动作,独立,太空,太空模拟,科幻","Bit Planet Games, LLC","Bit Planet Games, LLC",36,PC,单人,否,31
恐龙蛋,"休闲,解谜,恐龙","PopCap Games, Inc.","PopCap Games, Inc.",21,PC,单人,否,31
盗贼镇,"动作,独立,本地多人,4人本地,潜行,多人,西部,像素图形",Rude Ghost,Rude Ghost,32,PC,本地多人,否,31
LASTFIGHT,"3D 格斗,动作,独立,格斗,本地多人,4人本地,街机,本地合作,卡通,彩色,3D,卡通化",Piranaking,Piranaking,48,PC,本地多人,是,31
Da Capo 3 R,"裸露,视觉小说,动漫,冒险,剧情丰富,爱情,可爱,好评原声音轨,单人,多结局",Circus,MangaGamer,112,PC,单人,否,31
星光漂流者,"独立,冒险,休闲,裸露,视觉小说,LGBTQ+,科幻,色情内容,太空,女性主角",Dharker Studio,Dharker Studios Ltd,70,PC,单人,否,31
Silver Bullet: Prometheus,"动作,冒险,角色扮演,独立,女性主角,垂直卷轴射击",Byulbram,Byulbram Studio,21,PC,单人,是,31
Sol705,"免费,冒险,独立,休闲,指向 &amp; 点击",Land Patricio,Land Patricio,免费开玩,PC,单人,否,31
Majesty: Gold Edition,"策略,模拟,奇幻,基地建设,即时战略,单人,经济,等角,经典,多人,中世纪,管理,城市营造",Cyberlore,Paradox Interactive,36,PC,单人,否,31
Joe's Diner,"独立,冒险,动作,恐怖,生存恐怖,第一人称视角",VIS-Games,United Independent Entertainment GmbH,31,PC,单人,否,31
