游戏名,类型,开发商,发行商,价格,平台,性质,是否支持中文,历史在线峰值
像素地下城3,"动作类 Rogue,角色扮演,动作,独立,冒险,轻度 Rogue,血腥,暴力,像素图形,类Rogue",Kinto Games LLC,Kinto Games LLC,37,PC,单人,否,228
A Year Of Rain,"即时战略,基地建设,合作,玩家对战,团队导向,在线合作,多人,竞技,合作战役,经典,策略,独立,角色扮演,电竞,即时,战争,战术,好评原声音轨,重玩价值,魔法",Daedalic Entertainment,Daedalic Entertainment,48,PC,合作,是,228
空中岛忍者,"动作,独立,冒险,像素图形,怀旧,平台游戏",Blaze Epic,Blaze Epic,11,PC,单人,否,228
罪業狂襲FrenzyRetribution,"免费,动作,角色扮演,独立,血腥,暴力,动漫,砍杀,女性主角,困难,类魂系列,色情内容,裸露,单人",FrenzyZoneGameworkshop,FunTech,免费,PC,单人,否,227
埃朗,"独立,平台游戏,像素图形,二维",David Mulder,David Mulder,11,PC,单人,否,227
忠臣蔵46+1 S,"免费,裸露,动漫,色情内容,视觉小说,成人,恋爱模拟,冒险,爱情,网红,单人,历史,Hentai,剧情丰富","インレ,Inre",NextNinja,免费开玩,PC,单人,否,227
塞巴斯蒂安拉力赛,"竞速,模拟,体育,汽车模拟,越野,单人,多人",Milestone S.r.l.,Milestone S.r.l.,70,PC,单人,是,227
侍道3,"动作,角色定制,冒险,剑术,多结局,开放世界,选择取向,单人,角色扮演,沙盒,第三人称视角,重玩价值,动作角色扮演,砍杀,日系角色扮演,历史,喜剧,欢乐,动漫",ACQUIRE Corp.,Ghostlight LTD,68,PC,单人,否,227
35MM,"末日,氛围,生存,步行模拟,第一人称视角,恐怖,开放世界,冒险,独立,单人,剧情丰富,探索,生存恐怖,动作,黑暗,多人,模拟,第一人称射击,裸露,第三人称视角",Носков Сергей,Носков Сергей,34,PC,单人,否,227
War Birds: WW2 Air strike 1942,"模拟,动作,二战,休闲,独立,策略,战争,射击,街机,开放世界,冒险,怀旧,清版射击,战争游戏,生存,战术,单人,二维,动作角色扮演,风格化",HGames-ArtWorks,OtakuMaker.com,18,PC,单人,否,227
AFFECTED: The Manor,"独立,虚拟现实,恐怖",Fallen Planet Studios,Fallen Planet Studios,31,PC,单人,否,227
Pang Adventures,"动作,策略,街机,怀旧,休闲,清版射击,多人,射击,经典,非主流经典,二维,本地合作,合作,在线合作,快节奏,玩家对战,彩色,竞分,阖家,限时",Dotemu,Dotemu,36,PC,多人,否,227
Space Moth DX,"动作,独立,清版射击,弹幕射击,街机,二维,好评原声音轨,困难,怀旧,像素图形",1CC Games,Black Shell Media,22,PC,单人,否,227
地狱之刃：塞娜的献祭VR专用版,"动作,冒险,独立,暴力,虚拟现实,女性主角,剧情丰富,单人,心理恐怖",Ninja Theory,Ninja Theory,88,PC,单人,是,227
人间,"裸露,模拟,视觉小说,休闲,独立,冒险,动漫",白露社,PeriScope Game,18,PC,单人,是,226
迷雾岛,"模拟,洛夫克拉夫特式,独立,管理,恐怖,选择取向,反乌托邦,好评原声音轨,困难,策略,回合制,剧情丰富,氛围,单人,黑暗","Jongwoo Kim,Erica Lahaie,FX Bilodeau,Tanya Short",Kitfox Games,36,PC,单人,是,226
指环王：成长卡牌,"策略,冒险,角色扮演,牌组构建,卡牌战斗,卡牌游戏,抢先体验,奇幻,休闲,桌游,合作",Fantasy Flight Interactive,Asmodee Digital,32,PC,合作,是,226
异世界：20周年纪念版,"冒险,经典,动作,平台游戏,怀旧,重制,单人,科幻,复古,二维,大师级,控制器,困难,过场动画,氛围,解谜,外星人,90 年代,2D 平台","Eric Chahi,DotEmu",The Digital Lounge,36,PC,单人,否,226
少数派,"策略,二战",BlackMoon Design,BlackMoon Design ,32,PC,单人,否,226
卡图斯：进击的机器人,"双摇杆射击,动作,弹幕射击,独立,本地合作,女性主角,街机,清版射击,垂直卷轴射击,科幻,好评原声音轨,4人本地,困难,本地多人,可爱,机器人,纵轴,射击,快节奏,多人",Witch Beam,Witch Beam,70,PC,本地合作,否,226
Home Wars,"策略,动作,独立,战争,基地建设,射击,资源管理,战术,回合战略,即时战术,塔防,第一人称射击,沙盒,管理,单人,第三人称射击,困难,坦克,唯美格斗,交易卡牌",Insane Dreamers,Insane Dreamers,36,PC,单人,否,226
Scrap Garden - The Day Before,"冒险,动作,免费,独立,解谜,机器人,单人,3D 平台,阖家,探索,休闲,控制器,氛围,好评原声音轨,可爱,短片,原声音乐,物理,生存,多人","Egidijus Bachur,Alexey Davydov",Flazm,免费开玩,PC,单人,是,226
光影猎人的崛起,"策略,动作,独立,休闲,解谜",Spiderwork Games,familyplay,Try it now!,PC,单人,否,226
绘画与浮动迷宫,"独立,冒险,平台游戏,解谜",Dust Scratch Games,Dust Scratch Games,21,PC,单人,否,226
异化之恶〇Abnormal Treatment,"免费,角色扮演,冒险,独立,动漫,剧情丰富,RPG制作大师,女性主角,像素图形",Eternal Dream,迷糊的安安,免费开玩,PC,单人,是,226
一分钟,"极简主义,冒险,独立,像素图形,解谜,好评原声音轨,单人,二维,怀旧,角色扮演,欢乐,动作,短片,可爱,快节奏,探索,困难","JW, Kitty, Jukio, and Dom",Devolver Digital,36,PC,单人,是,226
NBA 2K欢乐竞技场,"体育,篮球,街机,多人",Saber Interactive,2K,99,PC,多人,是,226
Battle for the Galaxy,"免费,策略,大型多人在线,独立,休闲,科幻,建造,机器人,太空,玩家对战,异步多人,纵轴,赛博朋克,快节奏,未来",AMT Games,AMT Games,免费开玩,PC,大型多人在线,是,226
冰封触点,"策略,回合制,回合战略,战术,纵轴,科幻,异步多人,赛博朋克,好评原声音轨",Double Eleven,Double Eleven,78,PC,异步多人,否,226
猜想之穴,"类Rogue,角色扮演,传统类 Rogue,末日,永久死亡,独立,抢先体验,程序生成,科幻,开放世界,冒险,回合制,困难,策略,像素图形,重玩价值,剧情丰富,探索,怀旧,回合制战术",Freehold Games,Freehold Games,50,PC,单人,否,226
失落的星球 ,"动作,冒险,第三人称射击,机甲世界,科幻,射击,第三人称视角,机器人,大师级,多人,氛围,外星人,单人","CAPCOM Co., Ltd.",Capcom,67,PC,多人,否,226
失落的星球 ,"动作,冒险,第三人称射击,机甲世界,科幻,射击,第三人称视角,机器人,大师级,多人,氛围,外星人,单人","CAPCOM Co., Ltd.",Capcom,67,PC,多人,否,226
NSFW ~ Not a Simulator For Working,"裸露,色情内容,独立,休闲,模拟,工作场所不宜,像素图形",GameChanger Studio,GameChanger Studio,15,PC,单人,否,225
Livelock,"动作,冒险,独立,合作,垂直卷轴射击,纵轴,双摇杆射击,机器人,科幻,射击,机甲世界,单人,在线合作,多人",Tuque Games,Perfect World Entertainment,37,PC,合作,否,225
Metal Unit,"动作,独立,角色扮演,冒险,像素图形,抢先体验,Rogue 恶魔城,轻度 Rogue,女性主角,动作类 Rogue,类银河战士恶魔城,横向滚屏,二维,单人,探索,剧情丰富,困难,解谜,可爱,情感",JellySnow Studio,NEOWIZ,50,PC,单人,是,225
体素爆炸,"动作,独立",Ceiba Software and Arts,Ceiba Software and Arts,40,PC,单人,否,225
Gunslingers,"免费,回合制,策略,战术,西部,抢先体验,多人在线战术竞技,多人",Kovalim,Kovalim,,PC,多人在线战术竞技,否,225
Rabbit Hole 3D: Steam Edition,"独立,休闲,动作,解谜",Somi,Zero Rock Entertainment,15,PC,单人,否,225
Kindred Spirits on the Roof,"裸露,视觉小说,女性主角,动漫,爱情,成人,色情内容,可爱,LGBTQ+,单人,冒险,剧情丰富,欢乐,恋爱模拟,Hentai,光明会",Liar-soft,MangaGamer,100,PC,单人,否,225
Chicken Farm 2K17,"免费,轻游戏,独立,休闲,策略,模拟",Jakal Studios,Jakal Studios,免费游玩,PC,单人,否,225
My Free Farm 2,"免费,休闲,模拟,多人,建造,制作,单人,农业,资源管理,放松,彩色,冒险,卡通化,轻游戏,可爱,采矿,3D视觉,指向 &amp; 点击",upjers,upjers,免费开玩,PC,多人,否,225
乌鸦森林之谜：恐怖传奇,"休闲,隐藏物体,冒险,指向 &amp; 点击,悬疑,女性主角,解谜,恐怖,奇幻,单人,阖家,推理,氛围,二维,独立,剧情丰富,好评原声音轨,超现实,短片,彩色",One More Level,Artifex Mundi,36,PC,单人,是,225
Overcrowd: A Commute 'Em Up,"模拟,管理,抢先体验,策略,建造,沙盒,等角,独立,重玩价值,单人,资源管理,基地建设,火车,城市营造,好评原声音轨,欢乐,战术,喜剧,经济,解谜",SquarePlay Games,SquarePlay Games,57,PC,单人,是,224
乐园,"剧情丰富,独立,好评原声音轨,冒险,RPG制作大师,角色扮演,像素图形,情感,可爱,单人,解谜,二维,动漫,氛围,奇幻,心理恐怖,恐怖",Laura Shigihara,Laura Shigihara,36,PC,单人,是,224
Rogue Shooter: The FPS Roguelike,"轻度 Rogue,动作,动作类 Rogue,射击,第一人称射击,第一人称视角,独立,怀旧,单人,角色扮演,类Rogue",Hippomancer,Hippomancer,Demo,PC,单人,否,224
梦,"独立,冒险,探索,步行模拟,氛围,虚拟现实,第一人称视角,休闲,解谜,抢先体验,恐怖,唯美,好评原声音轨,剧情丰富,单人,超现实,奇幻,模拟,开放世界,大师级",HyperSloth,HyperSloth,34,PC,单人,否,224
Recursion Deluxe,"休闲,独立,动作,平台游戏,解谜,二维,像素图形","2D Heroes,Ursa Games",2D Heroes,21,PC,单人,否,224
军团战棋,"策略,冒险,独立,抢先体验,回合战略,4X",Bear &amp; Cat Studio,Bear &amp; Cat Studio,36,PC,单人,是,224
魔法砖块,"动作,独立,休闲,解谜",Cunning Force Games,Cunning Force Games,31,PC,单人,否,223
Farm Expert 2017,"模拟,农场模拟,独立,汽车模拟,单人,驾驶,农业,探索,开放世界,拟真,第一人称视角,阖家,经济,资源管理,物理,好评原声音轨,氛围,物品管理,管理",Silden,Ultimate Games S.A.,68,PC,单人,否,223
Aurion: Legacy of the Kori-Odan,"独立,角色扮演,动作,冒险,二维,动作角色扮演,奇幻,单人,日系角色扮演,Epic,动漫",Kiro'o Games,Dear Villagers,60,PC,单人,否,223
Rogue Heist,"免费,动作,抢先体验,暴力,独立,多人,团队导向,射击,第三人称射击,劫掠,玩家对战,犯罪,战术,自制枪械",Lifelike Studios,Time2Play Gaming Studios,免费开玩,PC,多人,否,223
疯狂机器2,"休闲,解谜,策略,物理,单人",Fakt Software,Viva Media,37,PC,单人,否,223
Planetoid Pioneers,"冒险,独立,动作,竞速,物理,可模组化,编程,二维",Data Realms,Data Realms,70,PC,单人,否,223
暖暖村物语,"模拟,角色扮演,独立,休闲,冒险,策略,农业,像素图形,农场模拟,本地多人",多极网络,心火游戏,48,PC,本地多人,是,223
Picross Touch,"免费,解谜,休闲,独立,策略,单人,触控",Jon Gallant,jgallant,免费,PC,单人,否,223
FreeCell Quest,"角色扮演,休闲,独立,策略,卡牌游戏",Legend Studio,Legend Studio,36,PC,单人,否,223
飞跃印刷史,"独立,平台游戏,教育,休闲,历史,单人,二维,解谜,短片,氛围,打字",Ex Nihilo,Plug In Digital,21,PC,单人,否,223
Seduce Me the Otome,"免费,裸露,视觉小说,少女游戏,恋爱模拟,动漫,女性主角,爱情,色情内容,成人,模拟,单人,休闲,选择取向,奇幻,剧情丰富,恶魔,独立,喜剧,好评原声音轨",Michaela Laws,Michaela Laws,免费,PC,单人,否,222
死灵幻象,"动作,第一人称射击,一战,恐怖,僵尸,射击,架空,第一人称视角,血腥",The Farm 51,1C Entertainment,21,PC,单人,否,222
枪火农夫,"独立,动作,第一人称射击,欢乐,多人,射击,第一人称视角,团队导向,抢先体验,快节奏,彩色,合作,竞技场射击,喜剧,角色定制,3D,在线合作,单人,阖家,美国",Megastorm Games,Megastorm Games,36,PC,多人,是,222
PAGUI打鬼,"动作,冒险,独立,角色扮演,恐怖",padendon,padendon,90,PC,单人,否,222
不是英雄,"像素图形,动作,独立,喜剧,冒险,射击,二维,欢乐,政治性,好评原声音轨,血腥,单人,困难,平台游戏,快节奏,清版射击,暴力,多人,怀旧",Roll7,Devolver Digital,42,PC,单人,否,222
无耻乱斗,"清版动作,动作,怀旧,冒险,独立,像素图形,街机,2D 格斗,本地合作,合作,二维,抢先体验",Trinity Team srls,Buddy Productions GmbH,70,PC,本地合作,是,222
不能没有我的甜甜圈,"动作,冒险,独立,休闲","Ben Aprigliano,Stefan Evers","Evilized productions,Different donut",11,PC,单人,否,222
速度之球2 HD,"体育,动作,独立,怀旧,本地多人,重制","Bitmap Brothers,Vivid Games",Tower Studios Ltd,36,PC,本地多人,否,221
动作影星亨克,"竞速,动作,独立,平台游戏,多人,欢乐,关卡编辑,单人,奔跑",RageSquid,RageSquid,48,PC,多人,否,221
像素：ru2,"抢先体验,策略,动作,独立,解谜,好评原声音轨,二维,无声主角,竞技,射击,平台游戏,平台解谜,教育,困难,像素图形",C63 Industries,C63 Industries,36,PC,单人,否,221
雪拉和三神器,"角色扮演,独立,色情内容,动漫,RPG制作大师,女性主角,日系角色扮演,裸露,网红,Hentai",Asgar Knights,Kagura Games,49,PC,单人,是,221
迷你机车世界大赛,"竞速,多人,动作,本地多人",Codemasters,Codemasters,37,PC,多人,否,221
雪拉和三神器,"角色扮演,独立,色情内容,动漫,RPG制作大师,女性主角,日系角色扮演,裸露,网红,Hentai",Asgar Knights,Kagura Games,49,PC,单人,是,221
失落的斯菲尔,"角色扮演,日系角色扮演,回合制,动漫,好评原声音轨,回合制战斗",Tokyo RPG Factory,Square Enix,338,PC,单人,否,221
罗迪纳,"太空,探索,开放世界,独立,科幻,沙盒,动作,抢先体验,单人,太空模拟,冒险,好评原声音轨,第一人称视角,氛围,模拟,程序生成,外星人,剧情丰富,快节奏,女性主角",Elliptic Games,Elliptic Games,Rodina Demo,PC,单人,否,221
日本动漫的一天,"免费,动漫,视觉小说,裸露,模拟,独立,冒险,休闲",DeXP,"DeXP,MyLifeGame.RU",Free to Play,PC,单人,否,221
Karma. Incarnation 1,"独立,休闲,冒险,指向 &amp; 点击,解谜,手绘,好评原声音轨,二维,单人,超现实",AuraLab,Other Kind Games,22,PC,单人,是,221
SOMBRERO: Spaghetti Western Mayhem,"动作,独立,西部,多人,本地多人,平台游戏,双摇杆射击,卡通化,控制器,卡通",PixelMetal,Alliance Digital Media,,PC,多人,否,221
动作影星亨克,"竞速,动作,独立,平台游戏,多人,欢乐,关卡编辑,单人,奔跑",RageSquid,RageSquid,48,PC,多人,否,221
To Ash,"角色扮演,独立,RPG制作大师","16 Bit Psych,Kyle B",Self-Publish,11,PC,单人,否,220
爱夏的炼金工房 ～黄昏大地之炼金术士～ DX,"角色扮演,日系角色扮演,动漫,可爱,奇幻,女性主角","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",180,PC,单人,是,220
M.A.C.E.,"动作,独立,休闲,清版射击,街机,射击,垂直卷轴射击,怀旧,2D 格斗",EntwicklerX,EntwicklerX,21,PC,单人,否,220
Cricket Captain 2018,"体育,策略,模拟,管理",Childish Things Ltd,Childish Things Ltd,43,PC,单人,否,220
恋花绽放樱飞时,"视觉小说,色情内容,休闲,裸露,动漫,可爱,多结局,剧情丰富,选择取向",PALETTE,Sekai Project,70,PC,单人,否,220
Mahjong Destiny,"休闲,解谜",EnsenaSoft,EnsenaSoft,11,PC,单人,否,220
SC2VN：电竞视觉小说,"视觉小说,动漫,免费,独立,休闲,模拟,角色扮演,冒险,电竞,裸露,网红,女性主角",Team Eleven,Team Eleven,免费游玩,PC,单人,否,220
奇幻房间,"休闲,独立,解谜",HandMade Game,Zero Rock Entertainment,37,PC,单人,否,220
Heroes of Normandie,"策略,桌游,二战,卡牌游戏,多人,回合制,单人,回合制战术,战术,重玩价值,异步多人,本地合作,本地多人,回合战略",Cat Rabbit,Slitherine Ltd.,88,PC,多人,否,220
Pertinence,"独立,动作,冒险,解谜,探索,困难,类银河战士恶魔城,极简主义",Not Magic,Not Magic,18,PC,单人,否,220
八比特男孩,"平台游戏,独立,动作,休闲,像素图形,二维,怀旧,单人,困难,街机,横向滚屏,复古,冒险",AwesomeBlade,AwesomeBlade,11,PC,单人,否,220
莉莉传说,"角色扮演,独立,色情内容,裸露,女性主角,动漫,日系角色扮演,多结局,成人,迷宫探索,网红",TUNNEL No.73,Kagura Games,69,PC,单人,是,220
FIA世界汽车拉力锦标赛6,"竞速,越野,多人,驾驶,汽车模拟,体育,模拟,电竞,街机",KT Racing,Bigben Interactive,185,PC,多人,是,220
矮人堡垒,"策略,独立,休闲,二维,塔防,奇幻,单人,街机,采矿",Power of 2,Tripwire Interactive,36,PC,单人,否,219
小妖精的黑暗冒险,"冒险,独立,指向 &amp; 点击,神话,黑暗,氛围,单人,解谜,二维",Nemoria Entertainment,Nemoria Entertainment,21,PC,单人,否,219
神奇之歌,"音乐,冒险,喜剧,独立,好评原声音轨,剧情丰富,情感,彩色,欢乐,平台游戏,可爱,休闲,阖家,风格化,横向滚屏,节奏,卡通化,探索,二维,试验性",Greg Lobanov,Greg Lobanov,68,PC,单人,否,219
超级力量2,"政治模拟,策略,模拟,政治,大战略,多人,战争,经济,单人,大师级,管理,军事",GolemLabs,THQ Nordic,36,PC,多人,否,219
罗马帝国黄金版,"策略,模拟,殖民模拟,城市营造,罗马,单人,历史",Haemimont Games,Kalypso Media Digital,36,PC,单人,否,219
灵武战记,"角色扮演,动漫,日系角色扮演,策略角色扮演,像素图形,战术角色扮演,回合制,女性主角,单人,回合制战术,好评原声音轨,策略","Nippon Ichi Software, Inc.","NIS America, Inc.",48,PC,单人,否,219
泰思虎奇幻冒险,"冒险,动作,3D 平台,独立,经典,单人,平台游戏,怀旧,开放世界,重制,阖家,好评原声音轨,收集马拉松,欢乐,卡通化,第三人称视角,大师级",Krome Studios,Krome Studios,48,PC,单人,否,219
合金弹头,"动作,街机,二维,经典,清版射击,怀旧,横向滚屏,合作,射击,本地多人,像素图形,欢乐,多人,平台游戏,本地合作,单人,冒险,快节奏,卡通化,好评原声音轨",Dotemu,SNK CORPORATION,28,PC,合作,是,219
NOSTALGIC TRAIN,"冒险,独立,步行模拟,氛围",Tatamibeya 畳部屋,Tatamibeya 畳部屋,41,PC,单人,否,219
星际屠杀,"动作,独立,清版射击,太空,射击,本地合作,解谜,4人本地,科幻,弹幕射击,抢先体验,本地多人,合作,多人,困难,单人,休闲,放松,战术,快节奏",Puny Human,Puny Human,37,PC,本地合作,否,219
陨落异星,"动作,独立,平台游戏,科幻,本地合作,二维,射击,物理,好评原声音轨,单人,本地多人,冒险,类银河战士恶魔城,太空,唯美,困难,氛围,横向滚屏",Alientrap,Alientrap,36,PC,本地合作,否,218
几何跑酷,"独立,动作,第一人称视角,抽象,奔跑,好评原声音轨,跑酷,本地多人,极简主义,平台游戏,街机,非主流经典",Santa Ragione,Santa Ragione,48,PC,本地多人,是,218
杀手7,"暴力,血腥,超现实,非主流经典,动作,冒险,好评原声音轨,轨道射击,色情内容,单人,风格化,剧情丰富,动漫,第一人称视角,恐怖,第一人称射击,经典,射击,大师级,鲜血","GRASSHOPPER MANUFACTURE INC.,Engine Software BV","NIS America, Inc.",68,PC,单人,否,218
应许之地,"休闲,殖民模拟,策略,冒险,模拟,独立,城市营造,可爱,氛围,时间管理,资源管理,单人,管理","Boolat Games,Alawar Entertainment",Buka Entertainment,28,PC,单人,否,218
Airport Madness: Time Machine,"冒险,模拟",Big Fat Simulations Inc.,Big Fat Simulations Inc.,28,PC,单人,否,218
Fist Slash: Of Ultimate Fury,"独立,动作,像素图形,怀旧,平台游戏,二维",Sinclair Strange,Rising Star Games,18,PC,单人,否,218
Blacksad,"冒险,选择取向,推理,黑色,剧情丰富,漫画,成人,犯罪,悬疑,裸露,单人,过场动画,推理调查,氛围,好评原声音轨,暴力,快速反应事件,卡通化,解谜,休闲","Pendulo Studios,YS Interactive",Microids,116,PC,单人,否,218
建筑师,"独立,平台解谜,解谜",Spooky Star,Spooky Star,,PC,单人,否,218
公主养成计划,"角色扮演,独立,色情内容,裸露,动漫,RPG制作大师,女性主角,冒险,日系角色扮演,网红,成人",Triangle!,Kagura Games,49,PC,单人,是,218
公主养成计划,"角色扮演,独立,色情内容,裸露,动漫,RPG制作大师,女性主角,冒险,日系角色扮演,网红,成人",Triangle!,Kagura Games,49,PC,单人,是,218
死亡效应2 VR,"动作,角色扮演,独立,虚拟现实,僵尸,恐怖","BadFly Interactive, a.s.",App Holdings,80,PC,单人,否,218
Antenna,"免费,独立,休闲,解谜,氛围,单人,冒险,短片,二维",LWNA,LWNA,免费,PC,单人,否,217
神王之路,"冒险,角色扮演,独立,策略",Fancy Fish Games,Fancy Fish Games,36,PC,单人,否,217
Cricket Captain 2016,"体育,模拟",Childish Things,KISS ltd,37,PC,单人,否,217
Taboos: Cracks,"色情内容,裸露,休闲,独立,成人,动漫,解谜,Hentai",DSGame,DSGame,6,PC,单人,是,217
英雄时代,"策略,独立,类Rogue,角色扮演,4X,模拟,回合战略,重玩价值,开放世界,单人,冒险,二维,沙盒,奇幻,回合制,生存,建造,迷宫探索,困难,Kickstarter",Heart Shaped Games LLC,Heart Shaped Games LLC,25,PC,单人,否,217
麦克斯：兄弟魔咒,"冒险,平台解谜,平台游戏,解谜,动作,单人,二维,控制器,横向滚屏",Press Play,Xbox Game Studios,48,PC,单人,否,217
模拟工业帝国,"模拟,策略,管理,经济",Actalogic,rondomedia GmbH,56,PC,单人,否,217
原子生命,"塔防,策略,即时战略,像素图形,基地建设,科幻,独立,单人,外星人,纵轴,黑暗,怀旧,氛围",Volcanic Giraffe,Volcanic Giraffe,41,PC,单人,否,216
太空暴君,"策略,独立,回合战略,欢乐,恶人主角,科幻,4X,抢先体验,轻度 Rogue,太空,休闲,回合制,困难,黑色喜剧",Blue Wizard Digital,Blue Wizard Digital,68,PC,单人,否,216
追逐地平线Turbo,"竞速,独立,休闲,体育,动作,街机,怀旧,本地多人,好评原声音轨,4人本地,分屏,本地合作,单人,90 年代",Aquiris Game Studio,Aquiris Game Studio,70,PC,本地多人,是,216
枪之怒火,"动作,独立,西部,像素图形,弹幕射击,本地合作,垂直卷轴射击,竞技场射击,合作,二维,双摇杆射击,多人,本地多人",FarmerGnome,Devolver Digital,42,PC,本地合作,否,216
钓鱼模拟世界,"模拟,钓鱼,多人,拟真,体育,休闲,单人,放松,控制器,氛围,阖家,第一人称视角,合作,冒险,动作,第一人称射击,狩猎,唯美,竞技,沉浸式模拟",Dovetail Games,Dovetail Games - Fishing,70,PC,多人,是,216
中心医院：治愈时光,"休闲,医疗模拟,独立,模拟,冒险,时间管理,女性主角,剧情丰富,单人,二维","Blue Giraffe,GameHouse",GameHouse,39,PC,单人,是,216
Rezrog,"回合制,程序生成,桌上游戏,类Rogue,迷宫探索,轻度 Rogue,角色扮演,回合制战术,回合制战斗,冒险,永久死亡,独立,困难",Soaphog,Kasedo Games,36,PC,单人,是,216
银河系军备竞赛,"独立,动作,休闲,太空",Evolutionary Games,Evolutionary Games,15,PC,单人,否,216
The Herbalist,"动漫,裸露,休闲,独立,视觉小说,单人,好评原声音轨,放松,解谜,制作,氛围,女性主角",Moonworks,Moonworks,25,PC,单人,是,216
东京暗影,"动漫,视觉小说,女性主角,指向 &amp; 点击,恐怖,推理,冒险,悬疑,心理恐怖,剧情丰富,选择取向,氛围,单人,暴力,血腥,多结局,好评原声音轨,裸露,心理,独立",Cherrymochi,Square Enix,60,PC,单人,否,216
弑杀,"动作,像素图形,独立,二维,平台游戏,血腥,好评原声音轨,哥特,困难,单人,黑暗奇幻,怀旧,砍杀,横向滚屏,恐怖,类银河战士恶魔城,暴力",Steel Mantis,Digerati,42,PC,单人,否,216
英雄崛起：奇才,"角色扮演,自选历险体验,独立,文字为基础,超級英雄,互动小说,剧情丰富,LGBTQ+,女性主角,选择取向,爱情",Choice of Games,Choice of Games,18,PC,单人,否,216
连续剧工厂,"模拟,独立,策略,休闲,管理",CREW Studio Krüger UG,CREW Studio Krüger UG,28,PC,单人,否,216
Idle Racing GO: Car Clicker Tycoon,"竞速,休闲,模拟,轻游戏,抢先体验,懒人游戏,免费",T-Bull,T-Bull,免费开玩,PC,单人,否,216
The Great Geometric Multiverse Tour,"动作,冒险,独立,第一人称射击,第一人称视角,轻度 Rogue,欢乐,单人,抽象,弹幕射击,彩色,清版射击,困难,快节奏,沙盒,好评原声音轨,类Rogue,原声音乐,非主流经典",Pie On A Plate Productions,Pie On A Plate Productions,15,PC,单人,否,216
Idle Heist,"免费,动作,多人,轻游戏,冒险,独立,策略,休闲,角色扮演",ChimpLabs,ChimpLabs,免费开玩,PC,多人,否,215
Tokyo 42,"动作,独立,赛博朋克,冒险,开放世界,等角,潜行,好评原声音轨,射击,多人,跑酷",SMAC Games,Mode 7,68,PC,多人,是,215
圣战群英传3：复兴,"策略,角色扮演,回合制,回合战略,奇幻","Akella,.dat",Kalypso Media Digital,48,PC,单人,否,215
切割2,"休闲,独立,动作,打字,音乐,节奏,好评原声音轨",Just1337 Studio,Just1337 Publisher,32,PC,单人,否,215
少女射击：双重和谐,"动漫,色情内容,裸露,成人,可爱,轨道射击,动作,恋爱模拟,冒险,单人,视觉小说,第一人称射击,喜剧,爱情,网红,欢乐,剧情丰富,好评原声音轨,阖家,生存恐怖","INTI CREATES CO., LTD.",PQube Limited,112,PC,单人,否,215
疯狂塔楼大亨,"模拟,策略,独立,管理,建造,城市营造,经济,沙盒,单人,抢先体验",Eggcode,"Eggcode,Toplitz Productions",48,PC,单人,是,215
怮哭之星,"角色扮演,动作,女性主角,日系角色扮演,动漫,好评原声音轨,剧情丰富,动作角色扮演",FURYU Corporation,"Spike Chunsoft Co., Ltd.",288,PC,单人,否,215
